dispicable,agreeable,admirable,,,
elated,dejected,downhearted,morose,,
petrified,confident,assured,carefree,,
hideous,beautiful,,,,
stunning,revolting,grotesque,ugly,,
certain,apprehensive,unsure,vague,,
peaceful,bustling,belligerant,stormy,,
valiant,timid,nervous,cowardly,,
obnoxious,delightful,pleasant,likeable,,
miniscule,gargantuan,immense,huge,,
heartbroken,overjoyed,elated,,,
winter,summer,,,,
bumpy,smooth,flat,level,,
inflexible,bendy,yielding,,,
deceiving,honest,truthful,frank,,
single,double,multiple,numerous,,
level,steep,sloping,,,
optimistic,gloomy,pessimistic,,,
scowl,grin,smile,,,
putrid,fresh,wholesome,,,
generous,greedy,miserly,selfish,,
frugal,luxurious,extravagant,,,
healthy,malignant,ailing,,,
prosperous,destitute,poor,,,
fierce,tame,placid,calm,,
scrupulous,careless,reckless,,,
enraged,soothed,placated,,,
dusk,dawn,daybreak,,,
candid,mysterious,secretive,,,
weary,energetic,lively,vigorous,,
explicit,vague,unclear,ambiguous,,
heroic,cowardly,scared,craven,panicky,spineless
renovated,ruined,delapidated,worn,,
organised,chaotic,anarchic,,,
familiar,unknown,novel,strange,,
insignificant,precious,important,vital,,
pristine,shabby,drab,soiled,,
placate,irritate,enrage,annoy,,
absurd,serious,logical,,,
compassionate,uncaring,callous,,,
release,seize,imprison,capture,,
unhelpful,cooperative,supportive,useful,,
despise,love,admire,,,
dismiss,appreciate,value,,,
unruly,obedient,compliant,docile,,
essential,trivial,irrelevant,unimportant,,
lethargic,vigorous,lively,active,,
abundant,barren,scarce,sparce,scanty,
arrogant,humble,modest,,,
casual,formal,solemn,,,
amiable,hostile,unfriendly,combative,,
appreciate,loathe,dislike,despise,,
extravagant,meagre,frugal,sparing,stingy,
inept,capable,able,expert,,
diligent,slapdash,careless,negligent,sloppy,
monotonous,exciting,varied,interesting,,
pessimist,optimist,,,,
absorb,drench,ooze,,,
concur,disagree,argue,,,
distraught,tranquil,calm,,,
bellow,whisper,murmur,,,
unimportant,noteworthy,essential,,,
help,impede,hinder,,,
wounded,unscathed,,,,
happy,melancholy,morose,,,
quirky,conventional,traditional,,,
bizarre,ordinary,,,,
fragile,resilient,robust,,,
combine,separate,isolate,,,
repair,break,rupture,,,
evade,seek,target,,,
unknown,infamous,notorious,,,
unaware,alert,astute,,,
improbable,certain,,,,
fake,genuine,,,,
honest,corrupt,untruthful,,,
cleanse,pollute,,,,
sparse,lush,numerous,,,
docile,savage,wild,,,
ignorant,knowledgeable,expert,,,
clever,stupid,,,,
tense,relaxed,,,,
slack,taut,,,,
release,confine,capture,,,
bland,spicy,,,,
flamboyant,dull,shy,,,
parch,hydrate,,,,
serene,agitated,,,,
donate,appropriate,,,,
random,sequential,,,,
discouraging,inspirational,,,,
wash,soil,,,,
drain,fill,,,,
positive,negative,,,,
satisfied,disappointed,,,,
plummets,soars,,,,
started,concluded,,,,
encourages,undermines,,,,
unequal,fair,balanced,,,
clarify,confuse,,,,
released,apprehended,,,,
plausible,unlikely,,,,
commend,rebuke,,,,
exceptional,ordinary,,,,
initial,ultimate,,,,
proficient,inept,,,,
crucial,unnecessary,,,,
clarification,confusion,,,,
agile,inflexible,,,,
unique,routine,regular,,,
avid,indifferent,uninterested,,,
exquisite,repugnant,,,,
crowded,deserted,,,,
nervous,fearless,,,,
icy,boiling,,,,
logical,irrational,,,,
ignorance,knowledge,,,,
arid,wet,,,,
soak,absorb,,,,
dives,ascends,,,,
rose,descended,,,,
sauntered,raced,sprinted,,,
tolerant,impatient,judgemental,,,
bleak,bright,,,,
shabby,opulent,,,,
conspicuous,concealed,obscured,,,
taciturn,talkative,,,,
overhead,subterranean,,,,
successful,disastrous,,,,
apprehensive,composed,collected,,,
tedious,dramatic,,,,
overdue,prompt,,,,
confirmation,denial,,,,
enlarged,diminished,,,,
enormous,minute,miniscule,,,
solitary,gregarious,accompanied,,,
vindictive,forgiving,merciful,,,
vague,apparent,precise,,,
drag,push,,,,
flushed,pallid,pale,,,
continue,pause,,,,
speedy,slow,,,,
swim,sink,,,,
sucking,blowing,,,,
miserly,generous,,,,
complicated,simple,straightforward,,,
compulsory,voluntary,,,,
forget,remember,,,,
perish,revive,live,,,
disagreement,accord,,,,
wither,blossom,flourish,,,
stretch,contract,shrink,shrivel,,
mountain,valley,,,,
dull,eventful,,,,
leave,join,,,,
moving,stationary,,,,
static,mobile,,,,
intermittent,constant,,,,
condemn,praise,,,,
denies,acknowledges,,,,
obscure,prominent,,,,
famous,anonymous,,,,
whole,fraction,,,,
passive,active,,,,
opaque,transparent,,,,
audacious,discouraging,,,,
singular,plural,,,,
acknowledges,ignores,,,,
quits,endures,,,,
stale,fresh,,,,
despised,popular,,,,
hated,loved,,,,
polar,tropical,,,,
sinking,floating,,,,
demolish,construct,,,,
ambiguous,precise,,,,
common,unusual,,,,
engrossing,boring,,,,
